name_tsp,hh_total,hh_male,hh_female,lat,lon
Pazundaung,10306,6873,3433,16.779648,96.174392
Botahtaung,8397,5872,2525,16.771967,96.169709
Dagon Myothit (South),76984,59357,17627,16.84016,96.22582
Dagon Myothit (North),42704,31678,11026,16.87774,96.19079
Dagon Myothit (East),33913,25590,8323,16.912805,96.213226
Dagon Myothit (Seikkan),37905,30570,7335,16.840488,96.272564
Mingalartaungnyunt,25918,18179,7739,16.788908,96.167859
Thanlyin,61597,47125,14472,16.76378,96.25184
Kyauktan,42469,34271,8198,16.63393,96.32351
Thongwa,40087,31932,8155,16.7586,96.52309
Kayan,39314,31430,7884,16.90544,96.5605
Twantay,51602,41597,10005,16.70734,95.93047
Kawhmu,29792,23744,6048,16.54616,96.06195
Kungyangon,28352,22846,5506,16.4394,96.0119
Dala,37912,29502,8410,16.75855,96.143
Seikgyikanaungto,7729,5974,1755,16.75779,96.116367
Cocokyun,351,323,28,14.13443058,93.36821296
Kyauktada,6120,3779,2341,16.774263,96.161642
Pabedan,6563,4214,2349,16.776983,96.15601
Lanmadaw,8599,5418,3181,16.779913,96.142335
Latha,4473,2679,1794,16.77712,96.150525
Ahlone,10943,7754,3189,16.782398,96.127863
Kyeemyindaing,23062,16841,6221,16.814573,96.121879
Sanchaung,20635,13417,7218,16.803809,96.137291
Hlaing,32837,23184,9653,16.847934,96.125227
Kamaryut,16299,11021,5278,16.827684,96.132439
Mayangone,38807,27872,10935,16.86619,96.142611
Dagon,4608,3165,1443,16.794952,96.1469
Bahan,17426,11907,5519,16.815427,96.156112
Seikkan,410,341,69,16.770395,96.15505
Taunggyi,94869,72354,22515,20.77475,96.99882
Nyaungshwe,42634,34334,8300,20.45492935,96.90596008
Hopong,24728,19600,5128,20.79743,97.17024
Hsihseng,32771,26495,6276,20.16226959,97.25190388
Kalaw,41341,30415,10926,20.66122,96.63584
Pindaya,17544,12917,4627,20.94158,96.66279
Ywangan,18348,13836,4512,21.16282,96.44229
Lawksawk,34107,28490,5617,21.63124,96.92252
Pinlaung,42083,34912,7171,20.29326,96.75691
Pekon,20084,17381,2703,19.86348,97.00831
Loilen,25417,18899,6518,20.92536,97.56581
Laihka,8790,6610,2180,21.27024,97.66509
Nansang,23227,18097,5130,21.09887,98.10086
Kunhing,11137,9250,1887,21.28871821,98.53380618
Kyethi,14712,11445,3267,21.92515,97.81933
Mongkaing,16332,12980,3352,21.61149,97.52699
Monghsu,15867,13115,2752,21.90513,98.36044
Langkho,9548,7123,2425,19.769,97.979
Mongnai,8485,6552,1933,20.75728,98.29333
Mawkmai,7194,5883,1311,20.2305,97.72369
Mongpan,5421,4342,1079,20.3188,98.3541
Lashio,64932,40330,24602,22.95277,97.74747
Hseni,11779,9022,2757,23.3072,97.9736
Mongyai,13328,9389,3939,22.4276179,98.0389972
Tangyan,35142,25655,9487,22.4981,98.3968
Muse,32758,25393,7365,23.95176337,97.80064245
Namhkan,21417,15235,6182,23.837,97.6818
Kutkai,32080,23951,8129,23.45921,97.94341
Kyaukme,38256,27508,10748,22.54172,97.03671
Nawnghkio,32224,26159,6065,22.33003,96.79895
Hsipaw,37906,29946,7960,22.61894,97.2981
Namtu,11641,8445,3196,23.09361,97.40049
Namhsan,13685,9813,3872,22.96407,97.16126
Mongmit,13652,8893,4759,23.11422,96.66999
Mabein,8632,6983,1649,23.47292,96.6292
Manton,7683,5860,1823,23.24647923,97.12221743
Kunlong,10392,8866,1526,23.41645472,98.65052624
Laukkaing,15181,12761,2420,23.47557,98.82419
Konkyan,9665,8538,1127,23.82946,98.53934
Hopang,11216,9348,1868,23.42544,98.75029
Mongmao,10445,9519,926,22.9672,98.9674
Pangwaun,13969,12929,1040,23.0562781,99.30908333
Matman,3318,2996,322,21.95417434,98.87087865
Pangsang,16457,14677,1780,22.68954,98.59519
Narphan,16474,15088,1386,22.60793118,99.09257653
Kengtung,34096,27731,6365,21.29189,99.6036
Mongkhet,8025,7253,772,21.7499,99.46377
Mongyang,19404,17610,1794,22.0082,99.3101
Mongla,5208,4734,474,21.6729,100.01867
Monghsat,19111,16800,2311,20.50544,99.24724
Mongping,13299,11353,1946,21.3502,99.026
Mongton,12521,10924,1597,19.7978983,98.5670835
Tachileik,37673,29596,8077,20.867,100.534
Monghpyak,6165,5207,958,20.87804,99.92333
Mongyawng,17196,15505,1691,21.18069822,100.3578971
Kangyidaunt,42966,35963,7003,16.9329,94.89476
Kyaunggon,41402,33801,7601,17.10768,95.1904
Kyonpyaw,59488,48369,11119,17.34855,95.33365
Ngapudaw,76652,65273,11379,16.01602,94.34411
Pathein,85687,68002,17685,16.9597,94.4447
Yegyi,50715,41174,9541,17.19974,95.08331
Thabaung,37237,30467,6770,17.04734,94.80589
Kyaiklat,43748,35568,8180,16.44431,95.72614
Dedaye,48610,37330,11280,16.40806,95.88512
Pyapon,69416,56376,13040,15.7994,95.29017
Bogale,75987,62176,13811,16.295,95.3968
Nyaungdon,51201,41396,9805,17.04903,95.63359
Danubyu,44797,35317,9480,17.25468,95.59583
Pantanaw,60277,50450,9827,16.98212,95.46595
Maubin,71804,57959,13845,16.73023,95.6494
Myaungmya,66172,54021,12151,16.59926,94.92977
Wakema,67448,53139,14309,16.43803471,95.13190322
Einme,46455,36404,10051,16.8962,95.1805
Mawlamyinegyun,74886,59272,15614,16.37894,95.26298
Labutta,75583,65009,10574,15.82676977,94.80943333
Kyangin,26857,21527,5330,18.30044,95.14703
Zalun,42073,33468,8605,17.4781,95.55666
Myanaung,59920,46301,13619,18.0935,95.269
Lemyethna,26244,21076,5168,17.60038,95.17454
Hinthada,86129,66508,19621,17.5616,95.4802
Ingapu,57229,45612,11617,17.97132,95.26073
Tatkon,51747,40621,11126,20.13041,96.20297
Zay Yar Thi Ri,26075,21221,4854,19.80326,96.18566
Oke Ta Ra Thi Ri,18661,15918,2743,19.891,96.043
Poke Ba Thi Ri,27616,21760,5856,19.84383343,96.18252411
Pyinmana,39663,30164,9499,19.7361,96.20895
Lewe,65174,51661,13513,19.63467,96.11007
Za Bu Thi Ri,26320,18135,8185,19.76867364,96.07260872
Det Khi Na Thi Ri,6997,5680,1317,19.70026174,96.09049718
